state,deaths,month,year,pc11_state_id
Rajasthan,20798,1,2018,08
Rajasthan,20239,1,2019,08
Rajasthan,21954,1,2020,08
Rajasthan,19622,1,2021,08
Rajasthan,18301,2,2018,08
Rajasthan,18089,2,2019,08
Rajasthan,18056,2,2020,08
Rajasthan,14860,2,2021,08
Rajasthan,18921,3,2018,08
Rajasthan,17784,3,2019,08
Rajasthan,16378,3,2020,08
Rajasthan,16084,3,2021,08
Rajasthan,18018,4,2018,08
Rajasthan,16651,4,2019,08
Rajasthan,17596,4,2020,08
Rajasthan,26251,4,2021,08
Rajasthan,19446,5,2018,08
Rajasthan,17603,5,2019,08
Rajasthan,20582,5,2020,08
Rajasthan,49046,5,2021,08
Rajasthan,17048,6,2018,08
Rajasthan,19766,6,2019,08
Rajasthan,17959,6,2020,08
Rajasthan,15640,7,2018,08
Rajasthan,15656,7,2019,08
Rajasthan,17151,7,2020,08
Rajasthan,16023,8,2018,08
Rajasthan,17569,8,2019,08
Rajasthan,17918,8,2020,08
Rajasthan,15812,9,2018,08
Rajasthan,19291,9,2019,08
Rajasthan,18719,9,2020,08
Rajasthan,17226,10,2018,08
Rajasthan,17924,10,2019,08
Rajasthan,18405,10,2020,08
Rajasthan,17489,11,2018,08
Rajasthan,17794,11,2019,08
Rajasthan,21265,11,2020,08
Rajasthan,21648,12,2018,08
Rajasthan,21448,12,2019,08
Rajasthan,23581,12,2020,08
Uttar Pradesh,68962,1,2019,09
Uttar Pradesh,75773,1,2020,09
Uttar Pradesh,103048,1,2021,09
Uttar Pradesh,69809,2,2019,09
Uttar Pradesh,50576,2,2020,09
Uttar Pradesh,98047,2,2021,09
Uttar Pradesh,63962,3,2019,09
Uttar Pradesh,41683,3,2020,09
Uttar Pradesh,70797,3,2021,09
Uttar Pradesh,56583,4,2019,09
Uttar Pradesh,20715,4,2020,09
Uttar Pradesh,61986,4,2021,09
Uttar Pradesh,55338,5,2019,09
Uttar Pradesh,33543,5,2020,09
Uttar Pradesh,62657,6,2019,09
Uttar Pradesh,59020,6,2020,09
Uttar Pradesh,63604,7,2019,09
Uttar Pradesh,68382,7,2020,09
Uttar Pradesh,67811,8,2019,09
Uttar Pradesh,78658,8,2020,09
Uttar Pradesh,69589,9,2019,09
Uttar Pradesh,92947,9,2020,09
Uttar Pradesh,60004,10,2019,09
Uttar Pradesh,90023,10,2020,09
Uttar Pradesh,66740,11,2019,09
Uttar Pradesh,80981,11,2020,09
Uttar Pradesh,66324,12,2019,09
Uttar Pradesh,99184,12,2020,09
Bihar,7289,1,2018,10
Bihar,28975,1,2019,10
Bihar,38238,1,2020,10
Bihar,45515,1,2021,10
Bihar,7872,2,2018,10
Bihar,27620,2,2019,10
Bihar,34015,2,2020,10
Bihar,38981,2,2021,10
Bihar,8196,3,2018,10
Bihar,28452,3,2019,10
Bihar,26682,3,2020,10
Bihar,29774,3,2021,10
Bihar,9635,4,2018,10
Bihar,23537,4,2019,10
Bihar,16865,4,2020,10
Bihar,33159,4,2021,10
Bihar,12495,5,2018,10
Bihar,24640,5,2019,10
Bihar,22893,5,2020,10
Bihar,68317,5,2021,10
Bihar,13898,6,2018,10
Bihar,30440,6,2019,10
Bihar,32656,6,2020,10
Bihar,15926,7,2018,10
Bihar,31533,7,2019,10
Bihar,30534,7,2020,10
Bihar,17933,8,2018,10
Bihar,34326,8,2019,10
Bihar,36355,8,2020,10
Bihar,20480,9,2018,10
Bihar,27897,9,2019,10
Bihar,39124,9,2020,10
Bihar,22413,10,2018,10
Bihar,29168,10,2019,10
Bihar,31860,10,2020,10
Bihar,22317,11,2018,10
Bihar,32088,11,2019,10
Bihar,30299,11,2020,10
Bihar,24467,12,2018,10
Bihar,32598,12,2019,10
Bihar,47908,12,2020,10
Assam,11999,1,2018,18
Assam,15394,1,2019,18
Assam,18112,1,2020,18
Assam,11972,2,2018,18
Assam,14550,2,2019,18
Assam,17535,2,2020,18
Assam,11968,3,2018,18
Assam,14029,3,2019,18
Assam,16576,3,2020,18
Assam,11646,4,2018,18
Assam,12925,4,2019,18
Assam,8769,4,2020,18
Assam,11557,5,2018,18
Assam,11969,5,2019,18
Assam,8384,5,2020,18
Assam,11460,6,2018,18
Assam,11142,6,2019,18
Assam,8025,6,2020,18
Assam,11265,7,2018,18
Assam,10889,7,2019,18
Assam,8878,7,2020,18
Assam,11184,8,2018,18
Assam,10699,8,2019,18
Assam,16467,8,2020,18
Assam,11411,9,2018,18
Assam,12890,9,2019,18
Assam,17904,9,2020,18
Assam,11567,10,2018,18
Assam,13768,10,2019,18
Assam,20383,10,2020,18
Assam,11338,11,2018,18
Assam,15353,11,2019,18
Assam,21325,11,2020,18
Assam,12811,12,2018,18
Assam,16309,12,2019,18
Assam,20286,12,2020,18
Madhya Pradesh,34445,1,2018,23
Madhya Pradesh,39524,1,2019,23
Madhya Pradesh,41272,1,2020,23
Madhya Pradesh,44131,1,2021,23
Madhya Pradesh,29983,2,2018,23
Madhya Pradesh,35999,2,2019,23
Madhya Pradesh,34637,2,2020,23
Madhya Pradesh,36534,2,2021,23
Madhya Pradesh,28504,3,2018,23
Madhya Pradesh,32904,3,2019,23
Madhya Pradesh,29731,3,2020,23
Madhya Pradesh,34564,3,2021,23
Madhya Pradesh,26944,4,2018,23
Madhya Pradesh,28598,4,2019,23
Madhya Pradesh,24179,4,2020,23
Madhya Pradesh,68532,4,2021,23
Madhya Pradesh,32447,5,2018,23
Madhya Pradesh,30501,5,2019,23
Madhya Pradesh,34289,5,2020,23
Madhya Pradesh,164834,5,2021,23
Madhya Pradesh,33817,6,2018,23
Madhya Pradesh,38972,6,2019,23
Madhya Pradesh,37387,6,2020,23
Madhya Pradesh,36510,7,2018,23
Madhya Pradesh,38917,7,2019,23
Madhya Pradesh,41303,7,2020,23
Madhya Pradesh,38228,8,2018,23
Madhya Pradesh,44140,8,2019,23
Madhya Pradesh,40187,8,2020,23
Madhya Pradesh,40178,9,2018,23
Madhya Pradesh,43513,9,2019,23
Madhya Pradesh,47264,9,2020,23
Madhya Pradesh,37762,10,2018,23
Madhya Pradesh,37947,10,2019,23
Madhya Pradesh,45154,10,2020,23
Madhya Pradesh,30348,11,2018,23
Madhya Pradesh,39107,11,2019,23
Madhya Pradesh,40222,11,2020,23
Madhya Pradesh,37957,12,2018,23
Madhya Pradesh,39618,12,2019,23
Madhya Pradesh,45066,12,2020,23
Andhra Pradesh,33640,1,2018,28
Andhra Pradesh,32304,1,2019,28
Andhra Pradesh,31993,1,2020,28
Andhra Pradesh,37963,1,2021,28
Andhra Pradesh,28788,2,2018,28
Andhra Pradesh,31172,2,2019,28
Andhra Pradesh,26807,2,2020,28
Andhra Pradesh,31920,2,2021,28
Andhra Pradesh,27342,3,2018,28
Andhra Pradesh,27974,3,2019,28
Andhra Pradesh,25415,3,2020,28
Andhra Pradesh,33367,3,2021,28
Andhra Pradesh,25982,4,2018,28
Andhra Pradesh,26291,4,2019,28
Andhra Pradesh,22364,4,2020,28
Andhra Pradesh,39102,4,2021,28
Andhra Pradesh,24359,5,2018,28
Andhra Pradesh,29931,5,2019,28
Andhra Pradesh,28067,5,2020,28
Andhra Pradesh,134041,5,2021,28
Andhra Pradesh,27011,6,2018,28
Andhra Pradesh,30202,6,2019,28
Andhra Pradesh,28437,6,2020,28
Andhra Pradesh,43296,6,2021,28
Andhra Pradesh,26459,7,2018,28
Andhra Pradesh,28468,7,2019,28
Andhra Pradesh,34750,7,2020,28
Andhra Pradesh,27930,8,2018,28
Andhra Pradesh,28667,8,2019,28
Andhra Pradesh,54925,8,2020,28
Andhra Pradesh,26626,9,2018,28
Andhra Pradesh,30449,9,2019,28
Andhra Pradesh,55865,9,2020,28
Andhra Pradesh,28481,10,2018,28
Andhra Pradesh,33636,10,2019,28
