State,Population,index,Partially_Vaccinated,Fully_Vaccinated,Not_Vaccinated
Uttar Pradesh,241066874,8469,47954594,10948748,182163532
Maharashtra,129877541,8456,26141015,15095680,88640846
Bihar,128864915,8440,23297054,5781642,99786219
West Bengal,103815877,8471,16879702,10876093,76060082
Andhra Pradesh,53206421,8437,12535977,7630986,33039458
Madhya Pradesh,86044251,8455,29267250,7668669,49108332
Tamil Nadu,82722262,8466,18683007,6045765,57993490
Rajasthan,80782495,8464,21729607,10251997,48800891
Karnataka,70462375,8451,20707338,9660804,40094233
Gujarat,72736247,8446,22628693,11231359,38876195
Odisha,48126658,8461,11167043,5163044,31796571
Kerala,35336581,8452,12974034,7388807,14973740
Telangana,41008763,8467,8565430,4457070,27986263
Jharkhand,40929284,8450,7407115,2476908,31045261
Assam,31169272,8439,10801621,2974963,17392688
Punjab,31623274,8463,6977687,3131238,21514349
Haryana,30351496,8447,8002574,3960191,18388731
Chhattisgarh,25540196,8442,7453900,3160953,14925343
Uttarakhand,10116752,8470,4285132,1954548,3877072
Himachal Pradesh,7663167,8448,3720822,1711428,2230917
Tripura,3671032,8468,1583014,872619,1215399
Meghalaya,2964007,8458,717104,300838,1946065
Manipur,2721756,8457,867168,322107,1532481
Nagaland,1980602,8460,458136,194035,1328431
Goa,1457723,8445,762725,391811,303187
Arunachal Pradesh,1382611,8438,493017,225272,664322
Mizoram,1091014,8459,435806,233563,421645
Sikkim,658361,8465,338895,166510,152956
Delhi,20188648,8444,5624354,3703892,10860402
Puducherry,1244464,8462,456510,176557,611397
Chandigarh,1545116,8441,499380,294231,751505
Andaman and Nicobar Islands,379944,8436,147609,104010,128325
Dadra and Nagar Haveli and Daman and Diu,585764,8443,484694,128838,-27768
Lakshadweep,64429,8454,30431,21939,12059
Jammu and Kashmir,15427841,8449,4239802,1757260,9430779
Ladakh,274289,8453,98753,93658,81878
India,1350590492,8473,338764264,142112435,869713793
