Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered
16/01/2021,Andaman and Nicobar Islands,225.0,0.0,225.0
16/01/2021,Andhra Pradesh,18412.0,0.0,18412.0
16/01/2021,Arunachal Pradesh,829.0,0.0,829.0
16/01/2021,Assam,3528.0,0.0,3528.0
16/01/2021,Bihar,18169.0,0.0,18169.0
16/01/2021,Chandigarh,265.0,0.0,265.0
16/01/2021,Chhattisgarh,5592.0,0.0,5592.0
16/01/2021,Dadra and Nagar Haveli and Daman and Diu,123.0,0.0,123.0
16/01/2021,Delhi,4319.0,0.0,4319.0
16/01/2021,Goa,426.0,0.0,426.0
16/01/2021,Gujarat,10787.0,0.0,10787.0
16/01/2021,Haryana,5589.0,0.0,5589.0
16/01/2021,Himachal Pradesh,1517.0,0.0,1517.0
16/01/2021,Jammu and Kashmir,2044.0,0.0,2044.0
16/01/2021,Jharkhand,3096.0,0.0,3096.0
16/01/2021,Karnataka,13594.0,0.0,13594.0
16/01/2021,Kerala,8062.0,0.0,8062.0
16/01/2021,Ladakh,79.0,0.0,79.0
16/01/2021,Lakshadweep,21.0,0.0,21.0
16/01/2021,Madhya Pradesh,9219.0,0.0,9219.0
16/01/2021,Maharashtra,18328.0,0.0,18328.0
16/01/2021,Manipur,585.0,0.0,585.0
16/01/2021,Meghalaya,509.0,0.0,509.0
16/01/2021,Mizoram,314.0,0.0,314.0
16/01/2021,Nagaland,561.0,0.0,561.0
16/01/2021,Odisha,13746.0,0.0,13746.0
16/01/2021,Puducherry,274.0,0.0,274.0
16/01/2021,Punjab,1319.0,0.0,1319.0
16/01/2021,Rajasthan,9279.0,0.0,9279.0
16/01/2021,Sikkim,120.0,0.0,120.0
16/01/2021,Tamil Nadu,2945.0,0.0,2945.0
16/01/2021,Telangana,3653.0,0.0,3653.0
16/01/2021,Tripura,355.0,0.0,355.0
16/01/2021,Uttar Pradesh,21291.0,0.0,21291.0
16/01/2021,Uttarakhand,2276.0,0.0,2276.0
16/01/2021,West Bengal,9730.0,0.0,9730.0
16/01/2021,Miscellaneous,0.0,0.0,0.0
16/01/2021,Total,191181.0,0.0,191181.0
18/01/2021,Andaman and Nicobar Islands,442.0,0.0,442.0
18/01/2021,Andhra Pradesh,46680.0,0.0,46680.0
18/01/2021,Arunachal Pradesh,2805.0,0.0,2805.0
18/01/2021,Assam,5542.0,0.0,5542.0
18/01/2021,Bihar,33389.0,0.0,33389.0
18/01/2021,Chandigarh,265.0,0.0,265.0
18/01/2021,Chhattisgarh,10872.0,0.0,10872.0
18/01/2021,Dadra and Nagar Haveli and Daman and Diu,123.0,0.0,123.0
18/01/2021,Delhi,7968.0,0.0,7968.0
18/01/2021,Goa,426.0,0.0,426.0
18/01/2021,Gujarat,10787.0,0.0,10787.0
18/01/2021,Haryana,17642.0,0.0,17642.0
18/01/2021,Himachal Pradesh,4817.0,0.0,4817.0
18/01/2021,Jammu and Kashmir,3375.0,0.0,3375.0
18/01/2021,Jharkhand,6059.0,0.0,6059.0
18/01/2021,Karnataka,66392.0,0.0,66392.0
18/01/2021,Kerala,15477.0,0.0,15477.0
18/01/2021,Ladakh,119.0,0.0,119.0
18/01/2021,Lakshadweep,201.0,0.0,201.0
18/01/2021,Madhya Pradesh,18174.0,0.0,18174.0
18/01/2021,Maharashtra,18582.0,0.0,18582.0
18/01/2021,Manipur,978.0,0.0,978.0
18/01/2021,Meghalaya,530.0,0.0,530.0
18/01/2021,Mizoram,554.0,0.0,554.0
18/01/2021,Nagaland,1436.0,0.0,1436.0
18/01/2021,Odisha,46506.0,0.0,46506.0
18/01/2021,Puducherry,554.0,0.0,554.0
18/01/2021,Punjab,3318.0,0.0,3318.0
18/01/2021,Rajasthan,23546.0,0.0,23546.0
18/01/2021,Sikkim,120.0,0.0,120.0
18/01/2021,Tamil Nadu,16462.0,0.0,16462.0
18/01/2021,Telangana,17408.0,0.0,17408.0
18/01/2021,Tripura,1736.0,0.0,1736.0
18/01/2021,Uttar Pradesh,22644.0,0.0,22644.0
18/01/2021,Uttarakhand,4237.0,0.0,4237.0
18/01/2021,West Bengal,29866.0,0.0,29866.0
18/01/2021,Miscellaneous,14017.0,0.0,14017.0
18/01/2021,Total,454049.0,0.0,454049.0
19/01/2021,Andaman and Nicobar Islands,644.0,0.0,644.0
19/01/2021,Andhra Pradesh,58495.0,0.0,58495.0
19/01/2021,Arunachal Pradesh,2805.0,0.0,2805.0
19/01/2021,Assam,7418.0,0.0,7418.0
19/01/2021,Bihar,42085.0,0.0,42085.0
